125.77 61.36
127.58 61.39
129.39 61.43
131.2 61.46
133.01 61.5
134.49 61.54
136.31 61.58
138.14 61.62
139.62 61.66
141.46 61.7
143.3 61.74
144.8 61.79
146.65 61.83
148.15 61.88
150.01 61.92
151.53 61.97
153.04 62.02
154.91 62.07
156.43 62.11
157.97 62.16
159.85 62.21
161.39 62.27
162.93 62.32
164.48 62.37
166.03 62.42
167.59 62.48
169.15 62.53
170.71 62.59
171.93 62.64
173.49 62.7
175.07 62.76
176.3 62.82
177.88 62.88
179.12 62.94
180.71 63.0
181.95 63.06
183.2 63.12
184.45 63.18
186.07 63.24
187.32 63.31
188.58 63.37
189.49 63.43
190.76 63.5
192.03 63.56
193.31 63.63
194.23 63.69
195.51 63.76
196.44 63.83
197.72 63.9
198.66 63.96
199.59 64.03
200.53 64.1
201.47 64.17
202.42 64.24
203.36 64.31
204.31 64.38
205.26 64.45
206.21 64.52
206.8 64.59
207.76 64.66
208.72 64.73
209.33 64.8
209.92 64.88
210.89 64.95
211.49 65.02
212.1 65.09
212.7 65.17
213.31 65.24
213.92 65.31
209.64 65.48
206.72 65.61
202.36 65.76
195.79 65.92
189.91 66.07
183.94 66.21
173.13 66.36
166.03 66.52
174.29 66.66
179.22 66.82
182.25 66.96
183.79 67.11
184.97 67.26
185.39 67.41
185.39 67.55
185.03 67.7
183.93 67.86
182.42 68.01
180.89 68.16
178.97 68.31
177.43 68.46
175.88 68.6
175.49 68.75
175.49 68.91
175.87 69.05
177.03 69.2
178.21 69.36
178.58 69.5
179.34 69.65
180.13 69.8
180.12 69.95
180.49 70.09
180.88 70.25
181.26 70.39
181.24 70.54
182.02 70.69
182.4 70.84
182.78 70.98
183.57 71.13
183.94 71.28
184.31 71.42
183.88 71.57
183.44 71.71
183.42 71.86
182.16 72.01
181.3 72.15
180.45 72.29
179.58 72.44
179.12 72.59
180.3 72.73
181.89 72.87
184.31 73.02
186.74 73.16
189.17 73.3
191.6 73.44
194.05 73.58
196.11 73.73
198.57 73.88
200.21 74.02
200.99 74.15
203.08 74.3
203.87 74.44
204.67 74.58
205.04 74.71
205.48 74.87
205.43 75.01
205.38 75.15
204.9 75.28
204.0 75.42
203.12 75.57
201.77 75.7
200.43 75.84
198.23 75.98
196.01 76.12
192.93 76.26
189.83 76.4
185.86 76.54
181.01 76.69
176.56 76.82
175.14 76.96
178.51 77.1
182.75 77.23
186.57 77.38
189.52 77.51
192.05 77.65
194.6 77.79
195.82 77.92
197.04 78.06
197.83 78.2
198.19 78.34
198.06 78.47
197.52 78.61
197.43 78.74
196.88 78.88
195.9 79.02
194.45 79.16
193.44 79.3
192.89 79.44
191.43 79.57
191.29 79.71
191.61 79.84
192.41 79.98
193.64 80.12
194.88 80.26
196.11 80.39
197.35 80.53
198.6 80.66
199.39 80.8
200.18 80.93
200.53 81.08
200.85 81.21
200.74 81.35
200.63 81.49
200.04 81.62
199.45 81.76
198.86 81.9
197.81 82.04
197.2 82.17
197.06 82.31
197.39 82.45
198.66 82.59
200.4 82.72
202.11 82.85
204.34 83.0
206.54 83.13
209.26 83.27
210.98 83.4
213.23 83.54
214.52 83.67
216.32 83.82
217.62 83.96
218.41 84.08
219.73 84.22
220.57 84.37
221.42 84.51
221.79 84.65
221.64 84.78
222.01 84.92
221.9 85.06
221.3 85.2
221.18 85.33
220.57 85.47
